Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/hcfnc.html,https://i.ss.com/gallery/2/349/87056/17411195.800.jpg,ÍengaragsPrûðu 3/5,2,44,4,LT proj.,260  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/exjln.html,https://i.ss.com/gallery/2/315/78687/15737361.800.jpg,centrsMaskavas 68,1,15,4,Priv. m.,100  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/acbpn.html,https://i.ss.com/gallery/2/349/87055/17410855.800.jpg,centrsStrçlnieku 7,3,85,2,Jaun.,1200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/belok.html,https://i.ss.com/gallery/2/349/87051/17410139.800.jpg,Ðampçteris-PleskodâleLielirbes 11,2,68,6,Jaun.,430  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/deini.html,https://i.ss.com/gallery/2/348/86968/17393550.800.jpg,ÂgenskalnsNometòu 21,1,31,4,P. kara,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/cxdph.html,https://i.ss.com/gallery/2/348/86991/17398077.800.jpg,centrsBrîvîbas 160,1,35,7,Specpr.,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bgxcx.html,https://i.ss.com/gallery/2/349/87050/17409836.800.jpg,centrsBrîvîbas 142,2,53,4,Renov.,500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/tornjakalns/agcci.html,https://i.ss.com/gallery/2/309/77183/15436507.800.jpg,ToròakalnsOlîvu 5,1,30,3,Renov.,280  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/gjxnd.html,https://i.ss.com/gallery/2/333/83032/16606256.800.jpg,ÍengaragsSalaspils 18,1,28,1,LT proj.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/fdppb.html,https://i.ss.com/gallery/2/349/87048/17409472.800.jpg,ZiepniekkalnsKomçtas 16,2,67,2,Jaun.,380  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/cgkjg.html,https://i.ss.com/gallery/2/274/68258/13651575.800.jpg,centrsVçþu 14,2,47,2,Jaun.,520  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/bemii.html,https://i.ss.com/gallery/2/348/86889/17377614.800.jpg,PïavniekiSaharova 15,2,60,9,104.,230  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/dpeoj.html,https://i.ss.com/gallery/1/151/37685/7536949.800.jpg,PurvciemsNîcgales 4,1,36,1,602.,190  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/diifo.html,https://i.ss.com/gallery/2/239/59688/11937514.800.jpg,Ðampçteris-PleskodâleKalnciema 103,1,26,1,P. kara,160  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/flicn.html,https://i.ss.com/gallery/2/302/75336/15067061.800.jpg,centrsKlusâ 13,1,40,1,Renov.,360  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/fegck.html,https://i.ss.com/gallery/2/338/84266/16853116.800.jpg,PïavniekiDravnieku 9,1,37,2,602.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/iclcf.html,https://i.ss.com/gallery/2/349/87042/17408315.800.jpg,PïavniekiDeglava 104,2,52,6,119.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/dbjgj.html,https://i.ss.com/gallery/2/233/58190/11637900.800.jpg,centrsStabu 54,4,150,3,P. kara,1200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/cfpoi.html,https://i.ss.com/gallery/2/346/86414/17282752.800.jpg,ImantaSlokas 215,2,38,1,LT proj.,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/mezhciems/ixmfx.html,https://i.ss.com/gallery/2/349/87041/17408155.800.jpg,MeþciemsEizenðteina 67,1,33,9,Renov.,285  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/ehlpi.html,https://i.ss.com/gallery/2/343/85680/17135977.800.jpg,centrsÌertrûdes 55,3,110,5,P. kara,450  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/fenje.html,https://i.ss.com/gallery/2/230/57452/11490279.800.jpg,centrsSkolas 14,4,114,2,Renov.,1200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bebplo.html,https://i.ss.com/gallery/2/292/72835/14566993.800.jpg,centrsAlunâna 2,5,271,3,Renov.,2500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/fljnf.html,https://i.ss.com/gallery/2/341/85222/17044387.800.jpg,centrsRûpniecîbas 21,2,76,2,Jaun.,1200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bekpcl.html,https://i.ss.com/gallery/2/349/87037/17407344.800.jpg,centrsGrostonas 17,2,60,7,Jaun.,650  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/agchx.html,https://i.ss.com/gallery/2/347/86731/17346117.800.jpg,centrsÈaka 68,4,110,6,P. kara,650  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/agnil.html,https://i.ss.com/gallery/2/201/50239/10047610.800.jpg,Ðampçteris-PleskodâleLielirbes 11,3,92,11,Jaun.,570  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bedmlo.html,https://i.ss.com/gallery/2/340/84860/16971862.800.jpg,centrsStabu 30,2,67,4,P. kara,470  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/aognb.html,https://i.ss.com/gallery/2/338/84385/16876911.800.jpg,ZiepniekkalnsZaïenieku 18,2,49,5,Jaun.,425  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/afipk.html,https://i.ss.com/gallery/2/349/87036/17407194.800.jpg,PurvciemsIeriíu 36,2,39,5,Hruðè.,270  €/mçn.
